Epoch,Train_Loss,Val_Accuracy,Val_F1,Growth_Fraction,Epoch_Time_sec
1,2.000248810240615,0.1,0.01818181818181818,0.2998843554361084,45.63
2,1.6838871643576823,0.136,0.05294456985745935,0.2995376000599692,44.58
3,1.631125941624562,0.1628,0.08631893997295055,0.2989602685432389,45.15
4,1.595902653265549,0.1005,0.01937119704538025,0.29815325108927065,45.85
5,1.5658704327865385,0.2544,0.2086111313587719,0.29711779206048455,45.85
6,1.5220391994554467,0.3644,0.33504456436010194,0.29585548805965145,45.88
7,1.4940256829756322,0.3376,0.3242638804725042,0.29436828546804705,45.79
8,1.4628368104771066,0.3069,0.2672015900873797,0.29265847744427304,45.89
9,1.4385688506381613,0.3365,0.3022228899078578,0.2907287003883726,46.01
10,1.4177050448562973,0.2419,0.17356679023899177,0.288581929876693,46.02
11,1.438068846886961,0.4711,0.4712847525865337,0.2862214760737622,46.2
12,1.3969746580807714,0.3107,0.28640404575211803,0.28365097862825517,45.9
13,1.3903228023140746,0.2349,0.1800848333088524,0.28087440106091954,46.81
14,1.3573130492822156,0.2953,0.24841443019223752,0.2778960246531138,46.4
15,1.2953409219062892,0.4768,0.46779984044785944,0.2747204418453818,45.91
16,1.2414136130586935,0.2552,0.19993956952948777,0.27135254915624213,45.85
17,1.2169802333115005,0.191,0.12687279953640213,0.2677975396321117,45.77
18,1.2076885164470892,0.5684,0.5575824215726369,0.26406089484000467,45.75
19,1.154264428856736,0.5655,0.5750659736750708,0.2601483764153528,45.73
20,1.1250329268726589,0.5061,0.4917483935613703,0.2560660171779821,45.56
21,1.0843505490757286,0.592,0.5981112646050284,0.2518201118299413,45.8
22,1.0649892429078283,0.4918,0.5034159044266272,0.24741720724952757,45.58
23,1.0324220683296879,0.6116,0.6173913534093682,0.24286409239647508,45.68
24,1.0231389820804668,0.6369,0.6353923633312373,0.23816778784387097,45.64
25,1.0017985899225545,0.6341,0.6259196798945027,0.23333553495294032,45.38
26,0.9836539593304623,0.6587,0.6581370588857851,0.2283747847073923,45.42
27,0.9742011143211824,0.6437,0.6396074011587669,0.22329318622454325,45.42
28,0.9671826847231495,0.678,0.6771581283095481,0.21809857496093202,45.46
29,0.959209867842524,0.6586,0.6586152211748292,0.2127989606306142,45.49
30,0.9520349345347641,0.6594,0.6568131679691224,0.20740251485476346,45.36
31,0.7065649977032568,0.77,0.7686820202111562,0.20191755856162394,45.33
32,0.6370014162893942,0.7887,0.7898684917422161,0.19635254915624212,45.29
33,0.6056599185042436,0.7841,0.7849949638890555,0.19071606747976114,45.09
34,0.5855494769297245,0.7865,0.7883354215667272,0.18501680457838582,45.47
35,0.574564654756905,0.7971,0.7963921794511479,0.17926354830241925,45.57
36,0.5586106428416224,0.8016,0.8006316782517663,0.17346516975603463,45.55
37,0.5548885152526152,0.8024,0.7999477355836816,0.16763060961867565,45.34
38,0.5400965526299348,0.7989,0.7980912209141429,0.16176886435917676,45.28
39,0.5369193333746071,0.7932,0.7939267088702026,0.1558889723638603,45.15
40,0.530612107809924,0.7989,0.7986965056006049,0.15,44.99
41,0.5241022099682372,0.7939,0.7934538540132762,0.14411102763613975,45.14
42,0.5209305061077492,0.7978,0.7984878652394516,0.13823113564082326,45.11
43,0.5217991324186936,0.8094,0.8099501752932062,0.13236939038132436,44.97
44,0.5157876872337124,0.7977,0.7988063750839921,0.1265348302439654,44.89
45,0.5101991800088126,0.8019,0.8004730344307093,0.12073645169758077,45.04
46,0.5100261446150561,0.7997,0.799245900258356,0.1149831954216142,45.21
47,0.5037243963051087,0.8002,0.800033209168648,0.10928393252023884,45.31
48,0.499782679919702,0.8064,0.8047801591291325,0.1036474508437579,45.01
49,0.4990766280439233,0.7996,0.8003949029201165,0.09808244143837609,45.07
50,0.4940671825950796,0.7973,0.7991770563647042,0.09259748514523654,45.16
51,0.4974343100140556,0.8105,0.8119362400562542,0.08720103936938582,45.25
52,0.48992274310463674,0.8067,0.8065260252101021,0.08190142503906798,45.01
53,0.4921020585733553,0.8058,0.806298730814752,0.07670681377545674,45.16
54,0.485108206599531,0.8097,0.8079020123992027,0.07162521529260768,45.09
55,0.48322059559455754,0.8065,0.8072474060356771,0.06666446504705965,45.07
56,0.47743407229531587,0.8008,0.79722233285609,0.061832212156129045,45.04
57,0.4794327035336427,0.8037,0.803135702402109,0.05713590760352494,45.3
58,0.47263614093066786,0.8102,0.808225797867507,0.052582792750472465,45.12
59,0.47213560205415633,0.8004,0.8010861433732411,0.04817988817005876,44.99
60,0.46915230559478494,0.8095,0.8071335301024877,0.04393398282201788,45.07
61,0.47021312296161577,0.8111,0.8093865466485084,0.039851623584647146,45.08
62,0.46594534955546735,0.8019,0.8000860668228377,0.035939105159995356,44.91
63,0.45871683220628284,0.8187,0.816960175697688,0.03220246036788824,45.11
64,0.45961824887540675,0.7944,0.7943147187641896,0.0286474508437579,45.09
65,0.4562612169835998,0.8067,0.8080426477378133,0.025279558154618246,44.61
66,0.4515176352289972,0.8273,0.8267229137306167,0.022103975346886174,44.98
67,0.4497582303996886,0.8088,0.8104514676170846,0.019125598939080456,44.59
68,0.4526207955904715,0.8086,0.806201804213854,0.01634902137174483,44.65
69,0.4477574164751397,0.7994,0.7986569140952359,0.013778523926237796,44.6
70,0.44639031295205506,0.8008,0.8018703005587895,0.011418070123306989,44.55
71,0.34668456908987977,0.8459,0.8455746751483393,0.009271299611627376,44.42
72,0.30662245590540266,0.8501,0.8503859040035749,0.00734152255572697,44.72
73,0.2979600322975392,0.8521,0.851809735936534,0.005631714531952925,44.9
74,0.280582822029325,0.8533,0.8534263874739597,0.004144511940348516,44.59
75,0.2754048789623605,0.8556,0.8553557537321603,0.0028822079395154354,44.89
76,0.267459084126006,0.8532,0.8531304756527607,0.001846748910729351,44.78
77,0.2647011520271875,0.8568,0.8568195258776236,0.001039731456761056,45.06
78,0.2610829841636512,0.8524,0.8526015981268398,0.0004623999400308054,44.7
79,0.25369489248293464,0.8541,0.8539515671172958,0.00011564456389156485,44.87
80,0.24804473573892888,0.8539,0.8534445206408322,0.0,44.83
81,0.24322767388767225,0.8567,0.8567369149709252,0.0,44.6
82,0.2363162566925591,0.8545,0.8543770617120016,0.0,44.7
83,0.23807418212847886,0.8525,0.852833207820578,0.0,44.78
84,0.23484617015692702,0.8552,0.8552943490619691,0.0,44.71
85,0.22780714358624057,0.8549,0.8551648400535523,0.0,44.78
86,0.2254243977320179,0.8521,0.8520531105517939,0.0,44.93
87,0.22563853497389183,0.853,0.8531790240032932,0.0,44.98
88,0.22104256969331626,0.8536,0.8541075318906999,0.0,44.81
89,0.2146690397615164,0.8533,0.8533085809909869,0.0,45.04
90,0.2117217392845511,0.853,0.8526437323400942,0.0,44.86
91,0.20079360043727787,0.8547,0.8547665208911456,0.0,44.88
92,0.19683948261293652,0.8557,0.8555587207353146,0.0,44.82
93,0.19493076508619112,0.8546,0.8545115651460147,0.0,44.86
94,0.193558610384275,0.8553,0.8549092062782149,0.0,44.68
95,0.1948745209394588,0.8557,0.8557093058260691,0.0,44.74
96,0.19174493012637395,0.8563,0.8564013633936404,0.0,44.77
97,0.1858987241134372,0.855,0.8551506516038168,0.0,44.79
98,0.18429522178160854,0.8561,0.8560528606095819,0.0,44.78
99,0.18712613089594432,0.8553,0.8551453887850581,0.0,44.9
100,0.18417618023505894,0.8561,0.8561043593367887,0.0,44.66
