Epoch,Train_Loss,Val_Accuracy,Val_F1,Growth_Fraction,Epoch_Time_sec
1,2.043100476112317,0.3804,0.3423406767095812,0.2998843554361084,51.75
2,1.5453857685631276,0.5012,0.48130578125519957,0.2995376000599692,48.57
3,1.3556518582925297,0.5337,0.523476057782754,0.2989602685432389,47.88
4,1.2382692435944738,0.6073,0.602411501271505,0.29815325108927065,47.45
5,1.1687179414624593,0.5649,0.5518787416203649,0.29711779206048455,47.9
6,1.1225340129776586,0.6199,0.6192820372372083,0.29585548805965145,47.69
7,1.0792754319199527,0.6333,0.6279766609265154,0.29436828546804705,48.14
8,1.0613849738495909,0.5798,0.5566522228230258,0.29265847744427304,47.86
9,1.0322704884520566,0.6519,0.6386865649130976,0.2907287003883726,47.64
10,1.0098977931482997,0.6158,0.6056674804379069,0.288581929876693,47.77
11,0.9999365769946773,0.6373,0.627560704002548,0.2862214760737622,46.15
12,0.9849503262400169,0.6659,0.6711902020726855,0.28365097862825517,45.15
13,0.9725981771411725,0.6701,0.6688041439795555,0.28087440106091954,44.76
14,0.9637879639978445,0.6669,0.6658642445644828,0.2778960246531138,45.34
15,0.9564477368597795,0.6401,0.635026992402134,0.2747204418453818,46.34
16,0.9430726902432998,0.644,0.6311424597754721,0.27135254915624213,48.04
17,0.9414691226735769,0.6586,0.6582915377198709,0.2677975396321117,47.51
18,0.931222603659929,0.6544,0.6496694216704202,0.26406089484000467,47.68
19,0.9288580954914362,0.6478,0.6439294419704216,0.2601483764153528,48.0
20,0.9174076998737496,0.6618,0.6617812791634656,0.2560660171779821,47.55
21,0.9151020161473644,0.7107,0.7096019599425059,0.2518201118299413,47.95
22,0.9136974820712159,0.6551,0.6490511230304546,0.24741720724952754,47.06
23,0.9158429477492612,0.6603,0.6481789773180167,0.24286409239647508,47.1
24,0.913964919564666,0.6283,0.6220289902520163,0.23816778784387097,47.09
25,0.9053495530511292,0.6918,0.686997138659766,0.23333553495294032,45.23
26,0.8981755756309182,0.6739,0.6762113511759742,0.2283747847073923,45.02
27,0.8952731564927193,0.6529,0.6429438092534515,0.22329318622454325,45.79
28,0.900373402195917,0.7038,0.6949254940481117,0.21809857496093202,47.69
